date,equity
2026-03-27,1000000.0
2026-03-30,1000000.0
2026-03-31,1000000.0
2026-04-01,1000000.0
2026-04-02,1000000.0
2026-04-03,1000000.0
2026-04-06,1000000.0
2026-04-07,1000000.0
2026-04-08,1000000.0
2026-04-09,1000000.0
2026-04-10,1000000.0
2026-04-13,1000000.0
2026-04-14,1000000.0
2026-04-15,1000000.0
2026-04-16,1000000.0
2026-04-17,1000000.0
2026-04-20,1000000.0
2026-04-21,1000000.0
2026-04-22,1000000.0
2026-04-23,1000000.0
2026-04-27,1000021.7612
2026-04-28,1000021.7612
2026-04-29,1000021.7612
2026-04-30,1000021.7612
2026-05-01,1000021.7612
2026-05-04,1000021.7612
2026-05-05,1000021.7612
2026-05-06,1000021.7612
